source,source_type,relation,sub_relation,target,target_type,source_table
I型超敏反应性疾病,疾病,症状,,花粉症,疾病,
Kartagener综合征,疾病,多发群体,,15岁前患者,,
Kartagener综合征,疾病,就诊科室,,内科,,
Kartagener综合征,疾病,英文名称,,Kartagener syndrome,,
Kartagener综合征,疾病,同义词,,内脏逆位－鼻窦炎－支气管扩张综合征,,
Kartagener综合征,疾病,症状,,反复咳嗽,,
Kartagener综合征,疾病,病因,,可能为隐性或显性遗传,,
Kartagener综合征,疾病,症状,,发绀,,
Kartagener综合征,疾病,症状,,发热,,
Kartagener综合征,疾病,症状,,咳嗽,,
Kartagener综合征,疾病,症状,,呼吸困难,,
Kartagener综合征,疾病,症状,,发绀等,,
Kartagener综合征,疾病,症状,,咳痰,,
Kartagener综合征,疾病,症状,,传导性耳聋,,
Kartagener综合征,疾病,症状,,咯血,疾病,
Kartagener综合征,疾病,症状,,不孕症,疾病,
Kartagener综合征,疾病,症状,,咳脓痰带血丝,,
Kartagener综合征,疾病,同义词,,家族性支气管扩张,,
Kartagener综合征,疾病,症状,,头痛,,
Kartagener综合征,疾病,症状,,流涕,,
Kartagener综合征,疾病,症状,,肺炎,疾病,
Kartagener综合征,疾病,症状,,感染,疾病,
Kartagener综合征,疾病,症状,,头昏,,
Kartagener综合征,疾病,症状,,鼻塞,疾病,
Kartagener综合征,疾病,症状,,耳聋,疾病,
L—门冬氨酸氨氯地平片,西药,不良反应,,呼吸困难,,
Marie—Bamberger综合征,疾病,英文名称,,Marie—Bamberger syndrome,,
Marie—Bamberger综合征,疾病,就诊科室,,内科,,
Marie—Bamberger综合征,疾病,症状,,杵状指,,
Marie—Bamberger综合征,疾病,检查,,实验室检查,,
Marie—Bamberger综合征,疾病,症状,,结节,,
Marie—Bamberger综合征,疾病,检查,,X线检查,,
Marie—Bamberger综合征,疾病,同义词,,全身性肥大性骨关节病,,
Marie—Bamberger综合征,疾病,同义词,,慢性肺性骨关节病,,
Marie—Bamberger综合征,疾病,发病部位,,肺,,
Marie—Bamberger综合征,疾病,症状,,肺癌等,,
Marie—Bamberger综合征,疾病,同义词,,肺性肥大性骨关节病,,
Marie—Bamberger综合征,疾病,症状,,肿胀,,
Nezelof综合征,疾病,症状,,肺炎,疾病,
Optochin敏感试验,诊疗技术及设备（治疗）,相关疾病,,肺炎链球菌败血症,疾病,
Optochin敏感试验,诊疗技术及设备（治疗）,相关疾病,,肺炎,疾病,
Pancoast综合征,疾病,病因,,乳腺癌,疾病,
Pancoast综合征,疾病,治疗,,止痛治疗,,
Pancoast综合征,疾病,病因,,肺癌,疾病,
