head,head_type,relation,tail,tail_type,source
i型超敏反应性疾病,疾病,临床表现,呼吸困难,症状,medical_kg
i型超敏反应性疾病,疾病,临床表现,哮喘,疾病,medical_kg
i型超敏反应性疾病,疾病,临床表现,支气管哮喘,疾病,medical_kg
i型超敏反应性疾病,疾病,治疗,回避疗法,药物,medical_kg
i型超敏反应性疾病,疾病,诊断依据,特异性试验,检查,medical_kg
i型超敏反应性疾病,疾病,治疗,过敏原的免疫治疗,药物,medical_kg
i型超敏反应性疾病,疾病,临床表现,胸闷,症状,medical_kg
i型超敏反应性疾病,疾病,易感人群,患特应性疾病的患者,流行病学,medical_kg
i型超敏反应性疾病,疾病,病因,由ige抗体介导的超敏反应,病原体,medical_kg
i型超敏反应性疾病,疾病,临床表现,花粉症,疾病,medical_kg
kartagener综合征,疾病,易感人群,15岁前患者,流行病学,medical_kg
kartagener综合征,疾病,所属科室,内科,科室,medical_kg
kartagener综合征,疾病,英文名称,kartagener syndrome,药物,medical_kg
kartagener综合征,疾病,同义词,内脏逆位－鼻窦炎－支气管扩张综合征,疾病,medical_kg
kartagener综合征,疾病,临床表现,反复咳嗽,症状,medical_kg
kartagener综合征,疾病,病因,可能为隐性或显性遗传,病原体,medical_kg
kartagener综合征,疾病,临床表现,发绀,症状,medical_kg
kartagener综合征,疾病,临床表现,发热,症状,medical_kg
kartagener综合征,疾病,临床表现,咳嗽,症状,medical_kg
kartagener综合征,疾病,临床表现,呼吸困难,症状,medical_kg
kartagener综合征,疾病,临床表现,发绀等,症状,medical_kg
kartagener综合征,疾病,临床表现,咳痰,症状,medical_kg
kartagener综合征,疾病,临床表现,传导性耳聋,症状,medical_kg
kartagener综合征,疾病,临床表现,咯血,疾病,medical_kg
kartagener综合征,疾病,临床表现,不孕症,疾病,medical_kg
kartagener综合征,疾病,临床表现,咳脓痰带血丝,症状,medical_kg
kartagener综合征,疾病,同义词,家族性支气管扩张,疾病,medical_kg
kartagener综合征,疾病,临床表现,头痛,症状,medical_kg
kartagener综合征,疾病,临床表现,流涕,症状,medical_kg
kartagener综合征,疾病,临床表现,肺炎,疾病,medical_kg
kartagener综合征,疾病,临床表现,感染,疾病,medical_kg
kartagener综合征,疾病,临床表现,头昏,症状,medical_kg
kartagener综合征,疾病,临床表现,鼻塞,疾病,medical_kg
kartagener综合征,疾病,临床表现,耳聋,疾病,medical_kg
l门冬氨酸氨氯地平片,西药,不良反应,呼吸困难,症状,medical_kg
mariebamberger综合征,疾病,英文名称,marie—bamberger syndrome,药物,medical_kg
mariebamberger综合征,疾病,所属科室,内科,科室,medical_kg
mariebamberger综合征,疾病,临床表现,杵状指,症状,medical_kg
mariebamberger综合征,疾病,诊断依据,实验室检查,检查,medical_kg
mariebamberger综合征,疾病,临床表现,结节,症状,medical_kg
mariebamberger综合征,疾病,诊断依据,x线检查,检查,medical_kg
mariebamberger综合征,疾病,同义词,全身性肥大性骨关节病,疾病,medical_kg
mariebamberger综合征,疾病,同义词,慢性肺性骨关节病,疾病,medical_kg
mariebamberger综合征,疾病,发病部位,肺,部位,medical_kg
mariebamberger综合征,疾病,临床表现,肺癌等,症状,medical_kg
mariebamberger综合征,疾病,同义词,肺性肥大性骨关节病,疾病,medical_kg
mariebamberger综合征,疾病,临床表现,肿胀,症状,medical_kg
nezelof综合征,疾病,临床表现,肺炎,疾病,medical_kg
optochin敏感试验,诊疗技术及设备,相关疾病,肺炎链球菌败血症,疾病,medical_kg
optochin敏感试验,诊疗技术及设备,相关疾病,肺炎,疾病,medical_kg
pancoast综合征,疾病,病因,乳腺癌,疾病,medical_kg
pancoast综合征,疾病,治疗,止痛治疗,药物,medical_kg
pancoast综合征,疾病,病因,肺癌,疾病,medical_kg
pancoast综合征,疾病,临床表现,肩痛,症状,medical_kg
pancoast综合征,疾病,临床表现,眼裂缩小等,症状,medical_kg
pancoast综合征,疾病,临床表现,音哑,症状,medical_kg
pancoast综合征,疾病,治疗,原发肿瘤的治疗,药物,medical_kg
pancoast综合征,疾病,病因,食管癌等引起,病原体,medical_kg
pancoast综合征,疾病,同义词,肺尖肿瘤综合征,疾病,medical_kg
pancoast综合征,疾病,临床表现,上肢麻木,症状,medical_kg
pancoast综合征,疾病,临床表现,麻木,症状,medical_kg
pancoast综合征,疾病,病因,胸膜间皮瘤,疾病,medical_kg
pancoast综合征,疾病,所属科室,内科,科室,medical_kg
poems综合征,疾病,临床表现,杵状指,症状,medical_kg
q热,疾病,临床表现,q热肺炎,疾病,medical_kg
q热,疾病,所属科室,呼吸内科,科室,medical_kg
q热,疾病,临床表现,干咳,症状,medical_kg
q热,疾病,高危因素,屠宰场工人,流行病学,medical_kg
q热,疾病,临床表现,肺炎,疾病,medical_kg
q热肺炎,疾病,诊断依据,x线检查,检查,medical_kg
q热肺炎,疾病,临床表现,呼吸困难,症状,medical_kg
q热肺炎,疾病,临床表现,发热,症状,medical_kg
q热肺炎,疾病,临床表现,干咳,症状,medical_kg
q热肺炎,疾病,诊断依据,分子生物学检测,检查,medical_kg
q热肺炎,疾病,临床表现,头痛,症状,medical_kg
q热肺炎,疾病,所属科室,呼吸内科,科室,medical_kg
q热肺炎,疾病,诊断依据,动物接种和病原体分离,检查,medical_kg
q热肺炎,疾病,病因,伯纳特立克次体引起,病原体,medical_kg
q热肺炎,疾病,临床表现,压痛,症状,medical_kg
q热肺炎,疾病,临床表现,关节疼痛,症状,medical_kg
q热肺炎,疾病,临床表现,乏力,症状,medical_kg
q热肺炎,疾病,临床表现,疼痛,疾病,medical_kg
q热肺炎,疾病,临床表现,出汗,症状,medical_kg
q热肺炎,疾病,临床表现,疲倦,症状,medical_kg
q热肺炎,疾病,诊断依据,痰液化验,检查,medical_kg
q热肺炎,疾病,诊断依据,病原学检查,检查,medical_kg
q热肺炎,疾病,临床表现,肌痛与间质性肺炎,症状,medical_kg
q热肺炎,疾病,临床表现,心脏杂音,症状,medical_kg
q热肺炎,疾病,发病部位,肺,部位,medical_kg
q热肺炎,疾病,临床表现,皮疹,疾病,medical_kg
q热肺炎,疾病,临床表现,胸痛,疾病,medical_kg
q热肺炎,疾病,诊断依据,血液化验,检查,medical_kg
q热肺炎,疾病,诊断依据,血清学检查,检查,medical_kg
q热肺炎,疾病,临床表现,肝脏肿大,症状,medical_kg
q热肺炎,疾病,临床表现,肺炎,疾病,medical_kg
q热肺炎,疾病,临床表现,肝脾肿大,症状,medical_kg
q热肺炎,疾病,临床表现,食欲减退,症状,medical_kg
q热肺炎,疾病,临床表现,食欲缺乏,症状,medical_kg
q热肺炎,疾病,临床表现,长期不规则发热,症状,medical_kg
q热肺炎,疾病,临床表现,高热,症状,medical_kg
s20140002,西药,不良反应,呼吸困难,症状,medical_kg
s20140002,西药,成份,氧,西药,medical_kg
s20140002,西药,分类,第一代头孢菌素,其他治疗,medical_kg
s20140002,西药,不良反应,过敏反应,症状,medical_kg
s20140002,西药,不良反应,血管神经性水肿,症状,medical_kg
tabsmzco,西药,英文名称,smzco（compound sulfamethoxazole tablets）,药物,medical_kg
tabsmzco,西药,不良反应,光敏,症状,medical_kg
tabsmzco,西药,不良反应,乏力,症状,medical_kg
tabsmzco,西药,不良反应,中性粒细胞减少症,疾病,medical_kg
tabsmzco,西药,成份,复方磺胺甲恶唑片,西药,medical_kg
tabsmzco,西药,不良反应,发热,症状,medical_kg
tabsmzco,西药,不良反应,呕吐,症状,medical_kg
tabsmzco,西药,不良反应,剥脱性皮炎,症状,medical_kg
tabsmzco,西药,不良反应,咽痛,症状,medical_kg
tabsmzco,西药,不良反应,出血,疾病,medical_kg
tabsmzco,西药,不良反应,恶心,症状,medical_kg
tabsmzco,西药,不良反应,多形红斑,疾病,medical_kg
tabsmzco,西药,不良反应,幻觉,症状,medical_kg
tabsmzco,西药,适应症,支气管炎,疾病,medical_kg
tabsmzco,西药,成份,甲氧苄啶,药物,medical_kg
tabsmzco,西药,分类,磺胺药,其他治疗,medical_kg
tabsmzco,西药,不良反应,粒细胞缺乏症,症状,medical_kg
tabsmzco,西药,不良反应,粒细胞缺乏,症状,medical_kg
tabsmzco,西药,适应症,细菌感染,疾病,medical_kg
tabsmzco,西药,不良反应,红斑,症状,medical_kg
tabsmzco,西药,不良反应,粒细胞减少,症状,medical_kg
tabsmzco,西药,不良反应,结晶尿,症状,medical_kg
tabsmzco,西药,适应症,肺炎,疾病,medical_kg
tabsmzco,西药,不良反应,腹泻,疾病,medical_kg
tabsmzco,西药,不良反应,药物热,疾病,medical_kg
tabsmzco,西药,不良反应,药疹,疾病,medical_kg
tabsmzco,西药,不良反应,过敏,症状,medical_kg
